[1586156400] LOG ROTATION: DAILY
[1586156400] LOG VERSION: 2.0
[1586156400] CURRENT HOST STATE: WINV-106;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.44 ms
[1586156400] CURRENT HOST STATE: WINV-107;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.36 ms
[1586156400] CURRENT HOST STATE: WINV-108;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.56 ms
[1586156400] CURRENT HOST STATE: WINV-110;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.43 ms
[1586156400] CURRENT HOST STATE: WINV-111;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.37 ms
[1586156400] CURRENT HOST STATE: WINV-112;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 1.48 ms
[1586156400] CURRENT HOST STATE: vapps-100;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.28 ms
[1586156400] CURRENT HOST STATE: vapps-109;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.33 ms
[1586156400] CURRENT HOST STATE: vdb-100;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.30 ms
[1586156400] CURRENT HOST STATE: vdb-101;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.31 ms
[1586156400] CURRENT HOST STATE: vdb-103;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.31 ms
[1586156400] CURRENT HOST STATE: vdb-staging;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.24 ms
[1586156400] CURRENT HOST STATE: vinfra-200;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.32 ms
[1586156400] CURRENT HOST STATE: vonly-backup;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.07 ms
[1586156400] CURRENT HOST STATE: vonly-database;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.31 ms
[1586156400] CURRENT HOST STATE: vonly-replica;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.28 ms
[1586156400] CURRENT SERVICE STATE: WINV-106;CPU Load;OK;HARD;1;CPU Load 6% (5 min average)
[1586156400] CURRENT SERVICE STATE: WINV-106;Data Drive Space;OK;HARD;1;d:\ - total: 931.32 Gb - used: 597.08 Gb (64%) - free 334.24 Gb (36%)
[1586156400] CURRENT SERVICE STATE: WINV-106;Memory Usage;OK;HARD;1;Memory usage: total:149142.26 MB - used: 40879.52 MB (27%) - free: 108262.74 MB (73%)
[1586156400] CURRENT SERVICE STATE: WINV-106;OS Drive Space;OK;HARD;1;c:\ - total: 67.89 Gb - used: 41.76 Gb (62%) - free 26.13 Gb (38%)
[1586156400] CURRENT SERVICE STATE: WINV-106;Uptime;OK;HARD;1;System Uptime - 102 day(s) 23 hour(s) 43 minute(s)
[1586156400] CURRENT SERVICE STATE: WINV-107;CPU Load;OK;HARD;1;CPU Load 39% (5 min average)
[1586156400] CURRENT SERVICE STATE: WINV-107;Data Drive Space;CRITICAL;HARD;3;d:\ - total: 931.51 Gb - used: 845.07 Gb (91%) - free 86.44 Gb (9%)
[1586156400] CURRENT SERVICE STATE: WINV-107;Memory Usage;OK;HARD;1;Memory usage: total:79143.40 MB - used: 31785.00 MB (40%) - free: 47358.41 MB (60%)
[1586156400] CURRENT SERVICE STATE: WINV-107;OS Drive Space;OK;HARD;1;c:\ - total: 67.45 Gb - used: 35.62 Gb (53%) - free 31.83 Gb (47%)
[1586156400] CURRENT SERVICE STATE: WINV-107;Uptime;OK;HARD;1;System Uptime - 7 day(s) 16 hour(s) 45 minute(s)
[1586156400] CURRENT SERVICE STATE: WINV-108;CPU Load;OK;HARD;1;CPU Load 6% (5 min average)
[1586156400] CURRENT SERVICE STATE: WINV-108;Data Drive Space;OK;HARD;1;d:\ - total: 931.32 Gb - used: 527.24 Gb (57%) - free 404.08 Gb (43%)
[1586156400] CURRENT SERVICE STATE: WINV-108;Memory Usage;OK;HARD;1;Memory usage: total:160950.28 MB - used: 45211.45 MB (28%) - free: 115738.83 MB (72%)
[1586156400] CURRENT SERVICE STATE: WINV-108;OS Drive Space;OK;HARD;1;c:\ - total: 67.89 Gb - used: 49.67 Gb (73%) - free 18.22 Gb (27%)
[1586156400] CURRENT SERVICE STATE: WINV-108;Uptime;OK;HARD;1;System Uptime - 495 day(s) 15 hour(s) 0 minute(s)
[1586156400] CURRENT SERVICE STATE: WINV-110;CPU Load;OK;HARD;1;CPU Load 8% (5 min average)
[1586156400] CURRENT SERVICE STATE: WINV-110;Data Drive Space;OK;HARD;1;d:\ - total: 931.32 Gb - used: 492.17 Gb (53%) - free 439.15 Gb (47%)
[1586156400] CURRENT SERVICE STATE: WINV-110;Memory Usage;OK;HARD;1;Memory usage: total:104565.75 MB - used: 15570.79 MB (15%) - free: 88994.96 MB (85%)
[1586156400] CURRENT SERVICE STATE: WINV-110;OS Drive Space;OK;HARD;1;c:\ - total: 67.89 Gb - used: 42.04 Gb (62%) - free 25.85 Gb (38%)
[1586156400] CURRENT SERVICE STATE: WINV-110;Uptime;OK;HARD;1;System Uptime - 115 day(s) 0 hour(s) 21 minute(s)
[1586156400] CURRENT SERVICE STATE: WINV-111;CPU Load;OK;HARD;1;CPU Load 0% (5 min average)
[1586156400] CURRENT SERVICE STATE: WINV-111;Data Drive Space;OK;HARD;1;d:\ - total: 931.22 Gb - used: 596.86 Gb (64%) - free 334.37 Gb (36%)
[1586156400] CURRENT SERVICE STATE: WINV-111;Memory Usage;OK;HARD;1;Memory usage: total:70469.53 MB - used: 17160.28 MB (24%) - free: 53309.24 MB (76%)
[1586156400] CURRENT SERVICE STATE: WINV-111;OS Drive Space;OK;HARD;1;c:\ - total: 67.89 Gb - used: 34.19 Gb (50%) - free 33.69 Gb (50%)
[1586156400] CURRENT SERVICE STATE: WINV-111;Uptime;OK;HARD;1;System Uptime - 256 day(s) 13 hour(s) 32 minute(s)
[1586156400] CURRENT SERVICE STATE: WINV-112;CPU Load;OK;HARD;1;CPU Load 6% (5 min average)
[1586156400] CURRENT SERVICE STATE: WINV-112;Data Drive Space;OK;HARD;1;d:\ - total: 931.51 Gb - used: 680.66 Gb (73%) - free 250.85 Gb (27%)
[1586156400] CURRENT SERVICE STATE: WINV-112;Memory Usage;OK;HARD;1;Memory usage: total:40939.93 MB - used: 17364.48 MB (42%) - free: 23575.44 MB (58%)
[1586156400] CURRENT SERVICE STATE: WINV-112;OS Drive Space;OK;HARD;1;c:\ - total: 278.36 Gb - used: 70.28 Gb (25%) - free 208.08 Gb (75%)
[1586156400] CURRENT SERVICE STATE: WINV-112;Uptime;OK;HARD;1;System Uptime - 195 day(s) 12 hour(s) 10 minute(s)
[1586156400] CURRENT SERVICE STATE: vapps-100;/mnt/data01 Partition;OK;HARD;1;/mnt/data01 is at 56% capacity, 293G of 551G
[1586156400] CURRENT SERVICE STATE: vapps-100;Current Load;OK;HARD;1;OK - load average: 0.05, 0.19, 0.21
[1586156400] CURRENT SERVICE STATE: vapps-100;Current Users;OK;HARD;1;USERS OK - 2 users currently logged in
[1586156400] CURRENT SERVICE STATE: vapps-100;PING;OK;HARD;1;PING OK - Packet loss = 0%, RTA = 0.06 ms
